(1315,467),(1339,467),(1339,494),(1315,494)
(1251,461),(1415,461),(1415,500),(1251,500)
(1004,455),(1245,455),(1245,500),(1004,500)
(940,451),(958,451),(958,472),(940,472)
(842,444),(1000,444),(1000,500),(842,500)
(574,444),(827,444),(827,500),(574,500)
(377,425),(556,425),(556,500),(377,500)
(230,425),(362,425),(362,499),(230,499)
(13,422),(201,422),(201,497),(13,497)
(1444,373),(1463,373),(1463,400),(1444,400)
(1423,364),(1500,364),(1500,500),(1423,500)
(654,184),(745,184),(745,256),(654,256)
(1420,166),(1491,166),(1491,357),(1420,357)
(1136,150),(1202,150),(1202,316),(1136,316)
(263,147),(315,147),(315,296),(263,296)
(11,138),(66,138),(66,397),(11,397)
(1421,0),(1490,0),(1490,156),(1421,156)
(11,0),(66,0),(66,130),(11,130)
